dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
uci_ecoli_rare_class,real,freeze,336,2,11,0.0,0.0,0.0,0.721557,0.013889,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,ensemble,1484,5,75,0.053333,0.8,0.1,0.961866,0.076016,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,iforest,1484,5,75,0.066667,1.0,0.125,0.991751,0.189037,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,ocsvm,1484,5,75,0.066667,1.0,0.125,0.992157,0.178393,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,lof,1484,5,74,0.067568,1.0,0.126582,0.985125,0.115734,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,autoencoder,1484,5,75,0.066667,1.0,0.125,0.995538,0.275833,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,lstm,1484,5,75,0.04,0.6,0.075,0.965247,0.067257,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,flatline,1484,5,75,0.0,0.0,0.0,0.101961,0.002284,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,temporal_change,1484,5,75,0.053333,0.8,0.1,0.961866,0.076016,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,freeze,1484,5,75,0.0,0.0,0.0,0.352603,0.002911,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
