dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
uci_wdbc_malignant,real,knn_distance,569,212,29,0.62069,0.084906,0.149378,0.792823,0.61861,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,autoencoder,569,212,29,0.689655,0.09434,0.165975,0.770361,0.626928,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,lstm,569,212,29,0.37931,0.051887,0.091286,0.62568,0.472145,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,flatline,569,212,29,0.034483,0.004717,0.008299,0.315337,0.272811,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,temporal_change,569,212,29,0.517241,0.070755,0.124481,0.674357,0.500284,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,freeze,569,212,27,0.074074,0.009434,0.016736,0.399166,0.312857,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,ensemble,178,48,1,0.0,0.0,0.0,0.315545,0.195192,"iforest,ocsvm,lof,knn_distance,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,iforest,178,48,9,0.222222,0.041667,0.070175,0.637179,0.332577,"iforest,ocsvm,lof,knn_distance,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,ocsvm,178,48,9,0.222222,0.041667,0.070175,0.658814,0.345249,"iforest,ocsvm,lof,knn_distance,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,lof,178,48,9,0.111111,0.020833,0.035088,0.410817,0.222426,"iforest,ocsvm,lof,knn_distance,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,knn_distance,178,48,9,0.111111,0.020833,0.035088,0.59391,0.291632,"iforest,ocsvm,lof,knn_distance,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,autoencoder,178,48,9,0.333333,0.0625,0.105263,0.812099,0.495069,"iforest,ocsvm,lof,knn_distance,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,flatline,178,48,9,0.111111,0.020833,0.035088,0.375641,0.217814,"iforest,ocsvm,lof,knn_distance,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,temporal_change,178,48,9,0.0,0.0,0.0,0.299119,0.191351,"iforest,ocsvm,lof,knn_distance,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,freeze,178,48,7,0.428571,0.0625,0.109091,0.525321,0.295124,"iforest,ocsvm,lof,knn_distance,autoencoder,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,ensemble,336,2,5,0.2,0.5,0.285714,0.974551,0.1875,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,iforest,336,2,17,0.0,0.0,0.0,0.452096,0.010068,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,ocsvm,336,2,17,0.0,0.0,0.0,0.299401,0.006232,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,lof,336,2,17,0.0,0.0,0.0,0.188623,0.005501,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
